央视,#genre#
CCTV1-综合,http://tvpull.dxhmt.cn/tv/11481-4.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8#http://120.196.232.32:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8?icpid=651&from=38&hms_devid=2232&online=1687246054&vqe=3
CCTV2-财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?#http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv2hd265/55/20200407/index.m3u8?&encrypt=#http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/3000/index.m3u8?&encrypt=#http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?&encrypt=
CCTV3-综艺,http://111.20.40.166/PLTV/88888893/224/3221226397/index.m3u8#http://111.20.40.167/PLTV/88888893/224/3221226397/index.m3u8#http://111.20.40.173/PLTV/88888893/224/3221226397/index.m3u8
CCTV4-中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?#http://111.20.40.173/PLTV/88888893/224/3221226191/index.m3u8
CCTV5-体育,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?#http://111.20.40.164/PLTV/88888893/224/3221226395/index.m3u8#http://111.20.40.165/PLTV/88888893/224/3221226395/index.m3u8#http://111.20.40.166/PLTV/88888893/224/3221226395/index.m3u8#http://111.20.40.167/PLTV/88888893/224/3221226395/index.m3u8#http://111.20.40.168/PLTV/88888893/224/3221226395/index.m3u8#http://111.20.40.169/PLTV/88888893/224/3221226395/index.m3u8#http://111.20.40.172/PLTV/88888893/224/3221226395/index.m3u8#http://111.20.40.173/PLTV/88888893/224/3221226395/index.m3u8
CCTV5+-体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV6-电影,http://111.20.40.166/PLTV/88888893/224/3221226393/index.m3u8#http://111.20.40.167/PLTV/88888893/224/3221226393/index.m3u8#http://111.20.40.172/PLTV/88888893/224/3221226393/index.m3u8#http://111.20.40.173/PLTV/88888893/224/3221226393/index.m3u8
CCTV7-国防军事,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?&encrypt=#http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/50/index.m3u8?&encrypt=#http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/57/index.m3u8?&encrypt=
CCTV8-电视剧,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8#http://111.20.40.166/PLTV/88888893/224/3221226391/index.m3u8#http://111.20.40.167/PLTV/88888893/224/3221226391/index.m3u8#http://111.20.40.172/PLTV/88888893/224/3221226391/index.m3u8#http://111.20.40.173/PLTV/88888893/224/3221226391/index.m3u8
CCTV9-记录,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
